Entity,Code,Year,MillitaryExpenditure
France,FRA,1990,2.71349
France,FRA,1991,2.91769
France,FRA,1992,2.45932
France,FRA,1993,2.79306
France,FRA,1994,3.21907
France,FRA,1995,2.96652
France,FRA,1996,2.93414
France,FRA,1997,2.8408
France,FRA,1998,2.70086
France,FRA,1999,2.52023
France,FRA,2000,2.48516
France,FRA,2001,2.38057
France,FRA,2002,2.42662
France,FRA,2003,2.4979
France,FRA,2004,2.47973
France,FRA,2005,2.41125
France,FRA,2006,2.33238
France,FRA,2007,2.27657
France,FRA,2008,2.27861
France,FRA,2009,2.01111
France,FRA,2010,1.96343
France,FRA,2011,1.86687
France,FRA,2012,1.86884
France,FRA,2013,2.22243
France,FRA,2014,2.2326
France,FRA,2015,2.27422
France,FRA,2016,2.26159
Italy,ITA,1861,3.85126
Italy,ITA,1862,4.61985
Italy,ITA,1863,4.38339
Italy,ITA,1864,4.27425
Italy,ITA,1865,2.91283
Italy,ITA,1866,6.85636
Italy,ITA,1867,2.28602
Italy,ITA,1868,2.04621
Italy,ITA,1869,1.99669
Italy,ITA,1870,2.39437
Italy,ITA,1871,1.90056
Italy,ITA,1872,1.88564
Italy,ITA,1873,2.00067
Italy,ITA,1874,1.82833
Italy,ITA,1875,2.12072
Italy,ITA,1876,2.23249
Italy,ITA,1877,2.21184
Italy,ITA,1878,2.33984
Italy,ITA,1879,2.1928
Italy,ITA,1880,2.23202
Italy,ITA,1881,2.47924
Italy,ITA,1882,2.56938
Italy,ITA,1883,3.08159
Italy,ITA,1884,3.2081
Italy,ITA,1885,3.00291
Italy,ITA,1886,2.96805
Italy,ITA,1887,4.07287
Italy,ITA,1888,5.31229
Italy,ITA,1889,4.00516
Italy,ITA,1890,3.42197
Italy,ITA,1891,2.99441
Italy,ITA,1892,3.19333
Italy,ITA,1893,3.2812
Italy,ITA,1894,2.99633
Italy,ITA,1895,4.07551
Italy,ITA,1896,3.36704
Italy,ITA,1897,3.43232
Italy,ITA,1898,3.09292
Italy,ITA,1899,2.86496
Italy,ITA,1900,2.95144
Italy,ITA,1901,2.70398
Italy,ITA,1902,2.75102
Italy,ITA,1903,2.61917
Italy,ITA,1904,2.69521
Italy,ITA,1905,2.60357
Italy,ITA,1906,2.60965
Italy,ITA,1907,2.43094
Italy,ITA,1908,2.79832
Italy,ITA,1909,2.77678
Italy,ITA,1910,3.17957
Italy,ITA,1911,3.83471
Italy,ITA,1912,4.8718
Italy,ITA,1913,4.83568
Italy,ITA,1914,2.20575
Italy,ITA,1915,2.73748
Italy,ITA,1916,3.36143
Italy,ITA,1917,3.48004
Italy,ITA,1918,3.39536
Italy,ITA,1919,3.75593
Italy,ITA,1920,6.49659
Italy,ITA,1921,11.8778
Italy,ITA,1922,7.63617
Italy,ITA,1923,3.51597
Italy,ITA,1924,3.34919
Italy,ITA,1925,2.68414
Italy,ITA,1926,2.80412
Italy,ITA,1927,4.13447
Italy,ITA,1928,3.50873
Italy,ITA,1929,3.57046
Italy,ITA,1930,4.06645
Italy,ITA,1931,5.164
Italy,ITA,1932,5.15983
Italy,ITA,1933,5.31238
Italy,ITA,1934,5.33287
Italy,ITA,1935,5.55803
Italy,ITA,1936,13.2492
Italy,ITA,1937,16.6537
Italy,ITA,1938,9.2714
Italy,ITA,1939,7.62052
Italy,ITA,1940,6.16456
Italy,ITA,1941,4.68247
Italy,ITA,1942,3.30828
Italy,ITA,1946,1.61782
Italy,ITA,1947,1.39205
Italy,ITA,1948,3.41691
Italy,ITA,1949,3.6096
Italy,ITA,1950,3.77312
Italy,ITA,1951,4.2519
Italy,ITA,1952,4.5028
Italy,ITA,1953,3.72569
Italy,ITA,1954,3.96306
Italy,ITA,1955,3.66826
Italy,ITA,1956,3.56956
Italy,ITA,1957,3.47365
Italy,ITA,1958,3.40315
Italy,ITA,1959,3.29201
Italy,ITA,1960,2.82528
Italy,ITA,1961,2.68923
Italy,ITA,1962,2.74599
Italy,ITA,1963,2.87789
Italy,ITA,1964,2.85054
Italy,ITA,1965,2.85773
Italy,ITA,1966,2.92338
Italy,ITA,1967,2.68544
Italy,ITA,1968,2.56412
Italy,ITA,1969,2.34242
Italy,ITA,1970,2.21303
Italy,ITA,1971,2.3962
Italy,ITA,1972,2.554
Italy,ITA,1973,2.3477
Italy,ITA,1974,2.20289
Italy,ITA,1975,2.07899
Italy,ITA,1976,1.92711
Italy,ITA,1977,1.9997
Italy,ITA,1978,1.98693
Italy,ITA,1979,1.98006
Italy,ITA,1980,2.01056
Italy,ITA,1981,1.85301
Italy,ITA,1982,2.1309
Italy,ITA,1983,2.17555
Italy,ITA,1984,2.13204
Italy,ITA,1985,1.88449
Italy,ITA,1986,1.52803
Italy,ITA,1987,1.65876
Italy,ITA,1988,1.81316
Italy,ITA,1989,1.80019
Italy,ITA,1990,1.65425
Italy,ITA,1991,1.58239
Italy,ITA,1992,1.50187
Italy,ITA,1993,1.93534
Italy,ITA,1994,1.46743
Italy,ITA,1995,1.6546
Italy,ITA,1996,1.82809
Italy,ITA,1997,1.83278
Italy,ITA,1998,1.88936
Italy,ITA,1999,1.81518
Italy,ITA,2000,1.79204
Italy,ITA,2001,1.80358
Italy,ITA,2002,1.92383
Italy,ITA,2003,1.93702
Italy,ITA,2004,1.88513
Italy,ITA,2005,1.81741
Italy,ITA,2006,1.71067
Italy,ITA,2007,1.71346
Italy,ITA,2008,1.28292
Italy,ITA,2009,1.38835
Italy,ITA,2010,1.03075
Italy,ITA,2011,1.32815
Italy,ITA,2012,1.27389
Italy,ITA,2013,1.5908
Italy,ITA,2014,1.4673
Italy,ITA,2015,1.38614
Italy,ITA,2016,1.51031
Germany,DEU,1871,3.86478
Germany,DEU,1872,1.58726
Germany,DEU,1873,1.57937
Germany,DEU,1874,1.81321
Germany,DEU,1875,2.20135
Germany,DEU,1876,2.15669
Germany,DEU,1877,2.38925
Germany,DEU,1878,2.17292
Germany,DEU,1879,2.32648
Germany,DEU,1880,2.25687
Germany,DEU,1881,2.3577
Germany,DEU,1882,2.27842
Germany,DEU,1883,2.17054
Germany,DEU,1884,2.16666
Germany,DEU,1885,2.06939
Germany,DEU,1886,2.13579
Germany,DEU,1887,3.00762
Germany,DEU,1888,3.63032
Germany,DEU,1889,2.17426
Germany,DEU,1890,3.03671
Germany,DEU,1891,2.4508
Germany,DEU,1892,2.62951
Germany,DEU,1893,2.84081
Germany,DEU,1894,2.66214
Germany,DEU,1895,2.36932
Germany,DEU,1896,2.19925
Germany,DEU,1897,2.61038
Germany,DEU,1898,2.35587
Germany,DEU,1899,2.24621
Germany,DEU,1900,2.31556
Germany,DEU,1901,2.55153
Germany,DEU,1902,2.59409
Germany,DEU,1903,2.33478
Germany,DEU,1904,2.21248
Germany,DEU,1905,2.24864
Germany,DEU,1906,2.26487
Germany,DEU,1907,2.33018
Germany,DEU,1908,2.63352
Germany,DEU,1909,2.53885
Germany,DEU,1910,2.53593
Germany,DEU,1911,2.44265
Germany,DEU,1912,2.34824
Germany,DEU,1913,3.20447
Germany,DEU,1914,15.4289
Germany,DEU,1915,55.6091
Germany,DEU,1916,48.5269
Germany,DEU,1917,56.4607
Germany,DEU,1918,59.3544
Germany,DEU,1919,0.655749
Germany,DEU,1920,0.523965
Germany,DEU,1921,0.520979
Germany,DEU,1922,0.188449
Germany,DEU,1923,6.88568
Germany,DEU,1924,0.815605
Germany,DEU,1925,0.864748
Germany,DEU,1926,0.972973
Germany,DEU,1927,0.821077
Germany,DEU,1928,0.857582
Germany,DEU,1929,0.838076
Germany,DEU,1930,0.932223
Germany,DEU,1931,1.08611
Germany,DEU,1932,1.26103
Germany,DEU,1933,2.66324
Germany,DEU,1934,2.69116
Germany,DEU,1935,5.2612
Germany,DEU,1936,6.92989
Germany,DEU,1937,8.63737
Germany,DEU,1938,17.528
Germany,DEU,1939,25.8844
Germany,DEU,1940,44.1935
Germany,DEU,1941,57.032
Germany,DEU,1942,71.8509
Germany,DEU,1943,85.5267
Germany,DEU,1944,94.5016
Germany,DEU,1945,22.3587
Germany,DEU,1991,1.7291
Germany,DEU,1992,1.56207
Germany,DEU,1993,1.77182
Germany,DEU,1994,1.59793
Germany,DEU,1995,1.58774
Germany,DEU,1996,1.58955
Germany,DEU,1997,1.49616
Germany,DEU,1998,1.50572
Germany,DEU,1999,1.41737
Germany,DEU,2000,1.43014
Germany,DEU,2001,1.37895
Germany,DEU,2002,1.41097
Germany,DEU,2003,1.4065
Germany,DEU,2004,1.33962
Germany,DEU,2005,1.33562
Germany,DEU,2006,1.26201
Germany,DEU,2007,1.22339
Germany,DEU,2008,1.2404
Germany,DEU,2009,1.38181
Germany,DEU,2010,1.34228
Germany,DEU,2011,1.224
Germany,DEU,2012,1.15419
Germany,DEU,2013,1.22399
Germany,DEU,2014,1.18843
Germany,DEU,2015,1.18368
Germany,DEU,2016,1.18488
Canada,CAN,1920,0.238497
Canada,CAN,1921,0.281682
Canada,CAN,1922,0.241238
Canada,CAN,1923,0.299433
Canada,CAN,1924,0.289616
Canada,CAN,1925,0.261132
Canada,CAN,1926,0.270887
Canada,CAN,1927,0.301174
Canada,CAN,1928,0.312124
Canada,CAN,1929,0.345763
Canada,CAN,1930,0.396729
Canada,CAN,1931,0.4042
Canada,CAN,1932,0.357311
Canada,CAN,1933,0.536292
Canada,CAN,1934,0.322795
Canada,CAN,1935,0.582346
Canada,CAN,1936,0.534881
Canada,CAN,1937,0.618459
Canada,CAN,1938,0.673383
Canada,CAN,1939,2.32707
Canada,CAN,1940,12.7665
Canada,CAN,1941,14.3563
Canada,CAN,1942,25.1047
Canada,CAN,1943,38.5802
Canada,CAN,1944,33.9405
Canada,CAN,1945,24.6924
Canada,CAN,1946,14.003
Canada,CAN,1947,3.11163
Canada,CAN,1948,1.26127
Canada,CAN,1949,2.32229
Canada,CAN,1950,2.63836
Canada,CAN,1951,5.60047
Canada,CAN,1952,7.35326
Canada,CAN,1953,7.68672
Canada,CAN,1954,6.80125
Canada,CAN,1955,6.51938
Canada,CAN,1956,5.81091
Canada,CAN,1957,5.46128
Canada,CAN,1958,4.90786
Canada,CAN,1959,4.42148
Canada,CAN,1960,4.21219
Canada,CAN,1961,4.22269
Canada,CAN,1962,4.12212
Canada,CAN,1963,3.5566
Canada,CAN,1964,3.44051
Canada,CAN,1965,2.86896
Canada,CAN,1966,2.72832
Canada,CAN,1967,2.80286
Canada,CAN,1968,2.52615
Canada,CAN,1969,2.28185
Canada,CAN,1970,2.18875
Canada,CAN,1971,2.11876
Canada,CAN,1972,1.99425
Canada,CAN,1973,1.83277
Canada,CAN,1974,1.82254
Canada,CAN,1975,1.75524
Canada,CAN,1976,1.7544
Canada,CAN,1977,1.83141
Canada,CAN,1978,1.83525
Canada,CAN,1979,1.69121
Canada,CAN,1980,1.59969
Canada,CAN,1981,1.69839
Canada,CAN,1982,1.96874
Canada,CAN,1983,1.92637
Canada,CAN,1984,2.01425
Canada,CAN,1985,1.84821
Canada,CAN,1986,1.90094
Canada,CAN,1987,1.84009
Canada,CAN,1988,1.73856
Canada,CAN,1989,1.67494
Canada,CAN,1990,1.72165
Canada,CAN,1991,1.86496
Canada,CAN,1992,1.72919
Canada,CAN,1993,1.66107
Canada,CAN,1994,1.67454
Canada,CAN,1995,1.51053
Canada,CAN,1996,1.37099
Canada,CAN,1997,1.19418
Canada,CAN,1998,1.21417
Canada,CAN,1999,1.24169
Canada,CAN,2000,1.11937
Canada,CAN,2001,1.05163
Canada,CAN,2002,1.12175
Canada,CAN,2003,1.13037
Canada,CAN,2004,1.12335
Canada,CAN,2005,1.12992
Canada,CAN,2006,1.14619
Canada,CAN,2007,1.26149
Canada,CAN,2008,1.26958
Canada,CAN,2009,1.42054
Canada,CAN,2010,1.25434
Canada,CAN,2011,1.12191
Canada,CAN,2012,1.00763
Canada,CAN,2013,1.00486
Canada,CAN,2014,0.995806
Canada,CAN,2015,0.986422
Canada,CAN,2016,0.99131
